IID,SciName,Locality,Country,StateProvince,Longitude,Latitude,FID
17.09.28.av02,Suillus luteus,Corner Brook. Humber Valley. HV-13 Balsaw,Canada,NL,-57.9514,48.9567,NAm
2019DUKE064,Suillus luteus,Green Hill Park,USA,MA,-71.7799,42.2797,NAm
2019NZAus082.1,Suillus luteus,Oldina State Forest,Australia,TAS,146.534,-41.3045,AU
2019NZAus082.3,Suillus luteus,Oldina State Forest,Australia,TAS,146.534,-41.3045,AU
2019NZAus082.4,Suillus luteus,Oldina State Forest,Australia,TAS,146.534,-41.3045,AU
TW03,Suillus luteus,Hehuanshan,Taiwan,Nantou,121.233,24.1167,Slu1
TW12,Suillus luteus,Hehuanshan,Taiwan,Nantou,121.233,24.1167,Slu1
TW038,Suillus luteus,Lulin Mt,Taiwan,Chayi,120.883,23.474,Slu1
NA01,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
NA02,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
AG3,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG4,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG5,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG6,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG7,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG8,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG9,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG10,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG11,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG12,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG14,Suillus luteus,Bariloche,Argentina,NULL,-71.2159,-41.1263,SAm
AG15,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG16,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG17,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG18,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG19,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG20,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG22,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AG25,Suillus luteus,Bariloche,Argentina,NULL,-71.2121,-41.1246,SAm
AM-AR15-026,Suillus luteus,Foyel,Argentina,Rio Negro,-71.4544,-40.6758,SAm
AU236,Suillus luteus,Rainbow Ravine,Australia,NSW,150.422,-33.552,AU
AU239x,Suillus luteus,Penrose State Forest,Australia,NSW,150.066,-34.6727,AU
AU241,Suillus luteus,Penrose State Forest,Australia,NSW,150.066,-34.6727,AU
AU322,Suillus luteus,Kuitpo stop 1,Australia,SA,138.701,-35.2146,AU
AU324,Suillus luteus,Kuitpo stop 1,Australia,SA,138.701,-35.2146,AU
AU339,Suillus luteus,"Granite Peaks State Forest, near Walpole",Australia,WA,116.643,-34.6704,AU
AU340,Suillus luteus,"Granite Peaks State Forest, near Walpole",Australia,WA,116.643,-34.6704,AU
AU341,Suillus luteus,"Granite Peaks State Forest, near Walpole",Australia,WA,116.643,-34.6704,AU
AU342,Suillus luteus,"Granite Peaks State Forest, near Walpole",Australia,WA,116.643,-34.6704,AU
AU343x,Suillus luteus,"Granite Peaks State Forest, near Walpole",Australia,WA,116.643,-34.6704,AU
AU350,Suillus luteus,Manjimup Caravan Park,Australia,WA,116.149,-34.2332,AU
AU351,Suillus luteus,roadside north of Manjimup,Australia,WA,116.16,-34.1945,AU
AU353,Suillus luteus,roadside north of Manjimup,Australia,WA,116.16,-34.1945,AU
AU356,Suillus luteus,roadside north of Manjimup,Australia,WA,116.16,-34.1945,AU
AU374,Suillus luteus,Ellis Creek State Forest,Australia,WA,115.861,-33.9627,AU
AU375,Suillus luteus,Ellis Creek State Forest,Australia,WA,115.861,-33.9627,AU
AU377,Suillus luteus,Ellis Creek State Forest,Australia,WA,115.861,-33.9627,AU
AU378,Suillus luteus,Ellis Creek State Forest,Australia,WA,115.861,-33.9627,AU
AU379,Suillus luteus,Ellis Creek State Forest,Australia,WA,115.861,-33.9627,AU
AU393x,Suillus luteus,"Jarrahwood State Forest, north of Nanup",Australia,WA,115.661,-33.793,AU
AU415,Suillus luteus,"Jarrahwood State Forest, north of Nanup",Australia,WA,115.661,-33.793,AU
AU422,Suillus luteus,"Jarrahwood State Forest, north of Nanup",Australia,WA,115.661,-33.793,AU
AU440,Suillus luteus,Yarrowee Plantation,Australia,VIC,143.864,-37.5897,AU
AU449,Suillus luteus,Wombat Plantation,Australia,VIC,144.127,-37.4996,AU
AU464,Suillus luteus,Univ. New England pine plantation,Australia,NSW,151.634,-30.4906,AU
AU463,Suillus luteus,Univ. New England pine plantation,Australia,NSW,151.634,-30.4906,AU
AU552,Suillus luteus,Mount Tomah Botanical Garden,Australia,NSW,150.42,-33.5394,AU
AU560,Suillus luteus,Newnes State Forest,Australia,NSW,150.083,-33.2947,AU
AU576,Suillus luteus,Jenolan State Forest,Australia,NSW,149.662,-33.2934,AU
BPL1195,Suillus luteus,Quinsigamond Marina,USA,MA,-71.7582,42.2907,NAm
BPL1196,Suillus luteus,Worcester Technical High School,USA,MA,-71.7781,42.2771,NAm
BPL1197,Suillus luteus,Worcester Technical High School,USA,MA,-71.7781,42.2771,NAm
BPL1198,Suillus luteus,Worcester Technical High School,USA,MA,-71.7781,42.2771,NAm
BPL1201,Suillus luteus,Umass Business park off South St.,USA,MA,-71.7637,42.276,NAm
BPL1202,Suillus luteus,Umass Business park off South St.,USA,MA,-71.7637,42.276,NAm
BPL1203,Suillus luteus,Lake State Park,USA,MA,-71.7428,42.2613,NAm
BPL1206,Suillus luteus,Wrentham Village Outlet,USA,MA,-71.3512,42.0399,NAm
BPL1208,Suillus luteus,Wrentham Village Outlet,USA,MA,-71.3512,42.0399,NAm
BPL1209,Suillus luteus,Audobon Plantation Ridge apartment complex,USA,MA,-71.7666,42.2864,NAm
BPL1210,Suillus luteus,Audobon Plantation Ridge apartment complex,USA,MA,-71.7666,42.2864,NAm
BPL1211,Suillus luteus,Floral Street School,USA,MA,-71.6941,42.284,NAm
BPL1212,Suillus luteus,Floral Street School,USA,MA,-71.6941,42.284,NAm
BPL1214,Suillus luteus,Home Depot parking lot along Route 9,USA,MA,-71.7158,42.2757,NAm
BPL1215,Suillus luteus,Worcester Polytechnic College,USA,MA,-71.8082,42.2743,NAm
BPL1216,Suillus luteus,Worcester Polytechnic College,USA,MA,-71.8082,42.2743,NAm
CBS124.37,Suillus luteus,Sweden,Sweden,NULL,16.7,63.3014,CEu
CBS715.94,Suillus luteus,Germany,Germany,NULL,10.2201,51.3372,Slu2
DOB454,Suillus luteus,Kennebunkport,USA,ME,-70.4509,43.3917,NAm
DOB459,Suillus luteus,pecks corner Rd. behind store Fence,USA,NY,-74.2529,44.4376,NAm
DOB636,Suillus luteus,"Hayes Brook Rd, Paul Smiths",USA,NY,-74.2529,44.4376,NAm
DOB637,Suillus luteus,"Hayes Brook Rd, Paul Smiths",USA,NY,-74.2529,44.4376,NAm
DOB638,Suillus luteus,"Hayes Brook Rd, Paul Smiths",USA,NY,-74.2529,44.4376,NAm
DOB639,Suillus luteus,"Hayes Brook Rd, Paul Smiths",USA,NY,-74.2529,44.4376,NAm
DOB657,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
DOB660,Suillus luteus,"Hays Brook Rd., Paul Smiths",USA,NY,-74.2529,44.4376,NAm
DOB707,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
MS-5-18,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
MS-1-6,Suillus luteus,Saranac Lake,USA,NY,-74.2529,44.4376,NAm
MS-3-17,Suillus luteus,"Hayes Brook Rd, Paul smiths",USA,NY,-74.2529,44.4376,NAm
MS-5-42,Suillus luteus,"Hayes Brook Rd, Paul smiths",USA,NY,-74.2529,44.4376,NAm
